$CONTROL_PAR_MOUSE_BEHAVIOUR_Y	true	Built-in Variable: $CONTROL_PAR_MOUSE_BEHAVIOUR_Y	N/A
$CONTROL_PAR_MOUSE_MODE	true	Built-in Variable: $CONTROL_PAR_MOUSE_MODE	N/A
$CONTROL_PAR_NONE	true	Built-in Variable: $CONTROL_PAR_NONE	N/A
$CONTROL_PAR_NUM_ITEMS	true	Built-in Variable: $CONTROL_PAR_NUM_ITEMS	N/A
$CONTROL_PAR_OFF_COLOR	true	Built-in Variable: $CONTROL_PAR_OFF_COLOR	N/A
$CONTROL_PAR_ON_COLOR	true	Built-in Variable: $CONTROL_PAR_ON_COLOR	N/A
$CONTROL_PAR_OVERLOAD_COLOR	true	Built-in Variable: $CONTROL_PAR_OVERLOAD_COLOR	N/A
$CONTROL_PAR_PARALLAX_X	true	Built-in Variable: $CONTROL_PAR_PARALLAX_X	N/A
$CONTROL_PAR_PARALLAX_Y	true	Built-in Variable: $CONTROL_PAR_PARALLAX_Y	N/A
$CONTROL_PAR_PARENT_PANEL	true	Built-in Variable: $CONTROL_PAR_PARENT_PANEL	N/A
$CONTROL_PAR_PEAK_COLOR	true	Built-in Variable: $CONTROL_PAR_PEAK_COLOR	N/A
$CONTROL_PAR_PICTURE	true	Built-in Variable: $CONTROL_PAR_PICTURE	N/A
$CONTROL_PAR_PICTURE_STATE	true	Built-in Variable: $CONTROL_PAR_PICTURE_STATE	N/A
$CONTROL_PAR_POS_X	true	Built-in Variable: $CONTROL_PAR_POS_X	N/A
$CONTROL_PAR_POS_Y	true	Built-in Variable: $CONTROL_PAR_POS_Y	N/A
$CONTROL_PAR_RANGE_MAX	true	Built-in Variable: $CONTROL_PAR_RANGE_MAX	N/A
$CONTROL_PAR_RANGE_MIN	true	Built-in Variable: $CONTROL_PAR_RANGE_MIN	N/A
$CONTROL_PAR_RECEIVE_DRAG_EVENTS	true	Built-in Variable: $CONTROL_PAR_RECEIVE_DRAG_EVENTS	N/A
$CONTROL_PAR_SELECTED_ITEM_IDX	true	Built-in Variable: $CONTROL_PAR_SELECTED_ITEM_IDX	N/A
$CONTROL_PAR_SHOW_ARROWS	true	Built-in Variable: $CONTROL_PAR_SHOW_ARROWS	N/A
$CONTROL_PAR_SLICEMARKERS_COLOR	true	Built-in Variable: $CONTROL_PAR_SLICEMARKERS_COLOR	N/A
$CONTROL_PAR_TEXT	true	Built-in Variable: $CONTROL_PAR_TEXT	N/A
$CONTROL_PAR_TEXTLINE	true	Built-in Variable: $CONTROL_PAR_TEXTLINE	N/A
$CONTROL_PAR_TEXTPOS_Y	true	Built-in Variable: $CONTROL_PAR_TEXTPOS_Y	N/A
$CONTROL_PAR_TEXT_ALIGNMENT	true	Built-in Variable: $CONTROL_PAR_TEXT_ALIGNMENT	N/A
$CONTROL_PAR_UNIT	true	Built-in Variable: $CONTROL_PAR_UNIT	N/A
$CONTROL_PAR_VALUE	true	Built-in Variable: $CONTROL_PAR_VALUE	N/A
$CONTROL_PAR_VERTICAL	true	Built-in Variable: $CONTROL_PAR_VERTICAL	N/A
$CONTROL_PAR_WAVETABLE_ALPHA	true	Built-in Variable: $CONTROL_PAR_WAVETABLE_ALPHA	N/A
$CONTROL_PAR_WAVETABLE_COLOR	true	Built-in Variable: $CONTROL_PAR_WAVETABLE_COLOR	N/A
$CONTROL_PAR_WAVETABLE_END_ALPHA	true	Built-in Variable: $CONTROL_PAR_WAVETABLE_END_ALPHA	N/A
$CONTROL_PAR_WAVETABLE_END_COLOR	true	Built-in Variable: $CONTROL_PAR_WAVETABLE_END_COLOR	N/A
$CONTROL_PAR_WAVE_ALPHA	true	Built-in Variable: $CONTROL_PAR_WAVE_ALPHA	N/A
$CONTROL_PAR_WAVE_COLOR	true	Built-in Variable: $CONTROL_PAR_WAVE_COLOR	N/A
$CONTROL_PAR_WAVE_CURSOR_COLOR	true	Built-in Variable: $CONTROL_PAR_WAVE_CURSOR_COLOR	N/A
$CONTROL_PAR_WAVE_END_ALPHA	true	Built-in Variable: $CONTROL_PAR_WAVE_END_ALPHA	N/A
$CONTROL_PAR_WAVE_END_COLOR	true	Built-in Variable: $CONTROL_PAR_WAVE_END_COLOR	N/A
$CONTROL_PAR_WF_VIS_MODE	true	Built-in Variable: $CONTROL_PAR_WF_VIS_MODE	N/A
$CONTROL_PAR_WIDTH	true	Built-in Variable: $CONTROL_PAR_WIDTH	N/A
